w1,w2,paraphrase
advertising,agency,agency that does advertising
advertising,agency,agency that does advertising business
advertising,agency,agency that does work in advertising
advertising,agency,agency that does work in the advertising field
advertising,agency,agency that does work in the advertising business
advertising,agency,agency that does the job of advertising
advertising,agency,agency that provides advertising
advertising,agency,agency that provides advertising services
advertising,agency,agency that facilitates advertising
advertising,agency,agency that handles advertising
advertising,agency,agency that handles advertising services
advertising,agency,agency that sells advertising
advertising,agency,agency that sells advertising services
advertising,agency,agency that specializes in advertising
advertising,agency,agency specializing in advertising
advertising,agency,agency that creates advertising material
advertising,agency,agency that makes advertising
advertising,agency,agency that makes advertising material
advertising,agency,agency that works on advertising
advertising,agency,agency that works in advertising
advertising,agency,agency that works in the advertising field
advertising,agency,agency that works in the advertising business
advertising,agency,agency that carries out business of advertising
advertising,agency,agency in the business of advertising
advertising,agency,agency in the advertising business
advertising,agency,agency in the advertising field
advertising,agency,agency in the advertising industry
advertising,agency,agency with expertise in advertising
advertising,agency,agency experienced in advertising
advertising,agency,agency specializing in advertising
advertising,agency,agency paid by companies for advertising
advertising,agency,agency paid by companies for advertising services
advertising,agency,agency responsible for advertising
air,strike,strike from the air
air,strike,strike carried out from air
air,strike,strike coming from air
air,strike,strike carried out from the air
air,strike,strike coming from the air
air,strike,strike that comes from air
air,strike,strike that occurred by air
air,strike,strike that falls from air
amateur,championship,championship contested only by amateurs
amateur,championship,championship contested only by amateur players
amateur,championship,championship contested only by amateur participants
amateur,championship,championship for amateurs
amateur,championship,championship for amateur players
amateur,championship,championship for amateur participants
amateur,championship,championship of amateurs
amateur,championship,championship of amateur players
amateur,championship,championship of amateur participants
amateur,championship,championship of all the amateurs
amateur,championship,championship of all the amateur players
amateur,championship,championship of all the amateur participants
amateur,championship,championship for all the amateurs
amateur,championship,championship for all the amateur players
amateur,championship,championship for all the amateur participants
amateur,championship,championship open only to amateurs
amateur,championship,championship open only to amateur players
amateur,championship,championship open only to amateur participants
amateur,championship,championship participated in by amateurs
amateur,championship,championship participated in by amateur players
amateur,championship,championship participated in by amateur participants
amateur,championship,championship where amateurs are competing
amateur,championship,championship where amateurs compete
amateur,championship,championship where amateurs are playing
amateur,championship,championship where amateurs play
aquarium,subject,subject of aquariums
aquarium,subject,subject of an aquarium
aquarium,subject,subject of the aquarium
aquarium,subject,subject about aquariums
aquarium,subject,subject about the aquarium
aquarium,subject,subject about aquarium based knowledge
aquarium,subject,subject based on aquariums
aquarium,subject,subject based on the aquarium
aquarium,subject,subject that explains about aquariums
aquarium,subject,subject that teaches about aquariums
army,coup,coup accomplished by the army
army,coup,coup achieved by the army
army,coup,coup done by the army
army,coup,coup initiated by the army
army,coup,coup involving the army
army,coup,coup led by the army
army,coup,coup accomplished by an army
army,coup,coup achieved by an army
army,coup,coup done by an army
army,coup,coup initiated by an army
army,coup,coup involving an army
army,coup,coup led by an army
army,coup,coup where the army overthrows the government
army,coup,coup where an army overthrows a government
assessment,task,task designed for assessment purposes
assessment,task,task assigned for assessment purposes
assessment,task,task given for assessment purposes
assessment,task,task done for assessment purposes
assessment,task,task performed for assessment purposes
assessment,task,task that consists of an assessment
assessment,task,task that contains an assessment
assessment,task,task that is designed for an assessment purpose
assessment,task,task that is assigned for an assessment purpose
assessment,task,task that is given for an assessment purpose
assessment,task,task that is done for an assessment purpose
assessment,task,task that is performed for an assessment purpose
bank,deposit,deposit at a bank
bank,deposit,deposit at the bank
bank,deposit,deposit made at a bank
bank,deposit,deposit made at the bank
bank,deposit,deposit at a bank
bank,deposit,deposit accepted at a bank
bank,deposit,deposit done at a bank
bank,deposit,deposit kept at a bank
bank,deposit,deposit at the bank
bank,deposit,deposit accepted at the bank
bank,deposit,deposit done at the bank
bank,deposit,deposit kept at the bank
bank,deposit,deposit in a bank
bank,deposit,deposit accepted in a bank
bank,deposit,deposit done in a bank
bank,deposit,deposit kept in a bank
bank,deposit,deposit made in a bank
bank,deposit,deposit made into a bank
bank,deposit,deposit in the bank
bank,deposit,deposit accepted in the bank
bank,deposit,deposit done in the bank
bank,deposit,deposit kept in the bank
bank,deposit,deposit made in the bank
bank,deposit,deposit in a bank account
bank,deposit,deposit accepted in a bank account
bank,deposit,deposit done in a bank account
bank,deposit,deposit kept in a bank account
bank,deposit,deposit made in a bank account
bank,deposit,depositing cash in a bank
bank,deposit,deposit of cash in a bank
bank,deposit,deposit held with a bank
bank,deposit,deposit held with the bank
bank,deposit,deposit kept with a bank
bank,deposit,deposit kept with the bank
bank,deposit,deposit held in a bank
bank,deposit,deposit held in the bank
bank,deposit,deposit held in a bank account
bank,deposit,deposit of money in a bank
bank,deposit,deposit of money in the bank
bedside,light,light beside a bed
bedside,light,light used at a bedside
bedside,light,light used at the bedside
bedside,light,light at the bedside
bedside,light,light placed at the bedside
bedside,light,light found at the bedside
bedside,light,light located at the bedside
bedside,light,light kept at the bedside
bedside,light,light at a bedside
bedside,light,light placed at a bedside
bedside,light,light found at a bedside
bedside,light,light located at a bedside
bedside,light,light kept at a bedside
bedside,light,light by the bedside
bedside,light,light placed by the bedside
bedside,light,light found by the bedside
bedside,light,light located by the bedside
bedside,light,light kept by the bedside
bedside,light,light by a bedside
bedside,light,light placed by a bedside
bedside,light,light found by a bedside
bedside,light,light located by a bedside
bedside,light,light kept by a bedside
bedside,light,light illuminating the bedside
bedside,light,light that illuminates the bedside
bedside,light,light illuminating a bedside
bedside,light,light that illuminates a bedside
bedside,light,light glowing at the bedside
bedside,light,light that glows at the bedside
bedside,light,light glowing at a bedside
bedside,light,light that glows at a bedside
bedside,light,light provided by a bedside lamp
bedside,light,light near the bedside
bedside,light,light used near the bedside
bedside,light,light placed near the bedside
bedside,light,light found near the bedside
bedside,light,light located near the bedside
bedside,light,light kept near the bedside
bedside,light,light near a bedside
